           13.909244 -1.823796  7.511925 -0.162188
           14.009389 -1.808622  7.536418 -0.133645
           14.109274 -1.786672  7.557811 -0.139998
           14.214413 -1.751243  7.633918 -0.158765
           14.309650 -1.718643  7.677295 -0.152847
           14.409068 -1.701841  7.716430 -0.154574
           14.509640 -1.661630  7.749517 -0.150262
           14.609332 -1.638117  7.797171 -0.133617
           14.709746 -1.620649  7.831284 -0.095372
           14.809443 -1.589853  7.860215 -0.098558
           14.909406 -1.564619  7.897701 -0.112462
           15.009580 -1.557650  7.933794 -0.130314
           15.109167 -1.517659  7.979959 -0.145903
           15.214313 -1.477062  7.979472 -0.138346
           15.309184 -1.458258  7.997572 -0.128797
           15.409242 -1.433462  8.051452 -0.140669
           15.509250 -1.412142  8.106766 -0.169298
           15.609278 -1.393878  8.137258 -0.147601
           15.709265 -1.374457  8.145947 -0.145903
           15.809421 -1.335999  8.221570 -0.101704
           15.909293 -1.329928  8.267859 -0.117603
           16.009211 -1.293629  8.298049 -0.111820
           16.114392 -1.236501  8.324821 -0.139138
           16.209384 -1.236800  8.360686 -0.138292
           16.309325 -1.234977  8.357424 -0.169117
           16.409334 -1.200864  8.403444 -0.137649
           16.509307 -1.186733  8.434748 -0.143342
           16.609334 -1.166367  8.468696 -0.169476
           16.709205 -1.129849  8.506756 -0.174866
           16.809247 -1.106855  8.542404 -0.183918
           16.909229 -1.073772  8.558383 -0.205164
           17.009148 -1.075814  8.566374 -0.235365
           17.109228 -1.022750  8.621451 -0.221226
           17.214364 -1.022438  8.624112 -0.240999
           17.309337 -0.979882  8.657422 -0.182767
           17.409405 -0.980001  8.653909 -0.185337
           17.509307 -0.945280  8.694968 -0.150545
           17.609245 -0.919040  8.728105 -0.128293
           17.709567 -0.870970  8.793099 -0.139019
           17.809230 -0.843569  8.851035 -0.152818
           17.909213 -0.829796  8.862682 -0.163563
           18.009586 -0.829999  8.877557 -0.175933
           18.114300 -0.795082  8.923858 -0.192160
           18.214200 -0.740778  8.964461 -0.179491
           18.309204 -0.721001  9.005947 -0.189576
           18.409600 -0.700451  9.050452 -0.176346
           18.509539 -0.685371  9.079789 -0.192258
           18.609976 -0.662217  9.119355 -0.188078
           18.709296 -0.624366  9.179432 -0.169632
           58.084427 -2.945485  5.310850 -0.377108
           58.184211 -2.964410  5.281494 -0.390369
           58.284349 -2.997573  5.247929 -0.380470
           58.379126 -3.021555  5.228179 -0.360464
           58.479584 -3.045081  5.187476 -0.373774
           58.579233 -3.055566  5.150653 -0.357708
           58.679235 -3.081125  5.110418 -0.369256
           58.779112 -3.090406  5.067334 -0.360278
           58.879482 -3.109032  5.011302 -0.357344
           70.349426 -4.221399  0.060005 -0.080100
           70.449289 -4.207081  0.029992 -0.079453
           70.549095 -4.201020  0.014724 -0.057094
           70.649281 -4.213669 -0.030579 -0.083969
           70.749261 -4.230629 -0.067317 -0.076956
           70.849243 -4.231834 -0.111187 -0.076047
           70.949366 -4.243480 -0.145866 -0.062900
           71.054222 -4.248583 -0.189975 -0.088575
           71.149247 -4.243430 -0.211488 -0.095067
           71.249237 -4.243678 -0.264617 -0.082642
           71.349313 -4.244815 -0.279728 -0.063932
           71.449183 -4.249823 -0.355867 -0.073666
           71.549204 -4.252394 -0.425924 -0.076621
           71.649466 -4.244151 -0.489884 -0.065638
           71.749638 -4.236613 -0.531657 -0.107997
           71.849185 -4.245249 -0.583580 -0.093438
           71.949235 -4.251260 -0.635540 -0.098087
           72.054124 -4.244645 -0.675791 -0.078031
           72.149137 -4.241235 -0.722414 -0.086053
           72.249147 -4.253144 -0.762464 -0.080053
           72.349415 -4.244366 -0.806526 -0.038556
           72.449357 -4.235958 -0.848720 -0.044662
           72.549487 -4.238884 -0.895900 -0.077524
           72.649311 -4.233810 -0.943485 -0.080327
           72.749030 -4.227196 -0.995112 -0.094613
           72.849066 -4.216870 -1.035745 -0.070149
           72.949208 -4.205455 -1.075056 -0.070289
           73.049258 -4.202450 -1.128071 -0.066975
           73.149253 -4.189032 -1.160514 -0.081080
           73.249117 -4.184837 -1.220261 -0.061300
           73.349080 -4.183167 -1.263280 -0.053423
           73.449342 -4.194686 -1.302619 -0.036981
           73.549376 -4.188299 -1.350992 -0.040946
           73.644415 -4.193755 -1.398849 -0.050397
           73.744625 -4.191509 -1.451929 -0.057151
           73.844274 -4.175986 -1.510113 -0.047077
           73.949228 -4.170842 -1.538169 -0.066871
           74.049241 -4.176935 -1.589226 -0.074198
           74.144194 -4.165173 -1.632321 -0.075168
           74.244317 -4.153927 -1.682585 -0.064104
           74.344164 -4.142512 -1.720157 -0.058426
           74.444330 -4.139879 -1.763365 -0.053887
           74.544356 -4.123929 -1.812822 -0.066083
           74.644360 -4.104036 -1.862861 -0.051462
           74.744133 -4.097542 -1.909815 -0.052699
           74.844337 -4.093707 -1.944089 -0.059248
           74.949219 -4.080421 -1.977464 -0.042609
           75.044358 -4.075671 -2.016388 -0.030527
           75.144205 -4.087754 -2.044072 -0.042773
           75.244390 -4.091281 -2.082371 -0.054200
           75.344200 -4.073082 -2.115211 -0.063157
           75.444318 -4.078772 -2.162749 -0.081559
           75.544177 -4.059379 -2.237176 -0.069479
           75.644354 -4.056607 -2.302443 -0.051510
           75.744347 -4.049624 -2.358156 -0.043072
           75.844601 -4.048615 -2.408246 -0.048700
           75.944560 -4.037032 -2.450875 -0.070949
           76.044586 -4.022843 -2.485761 -0.064158
           76.144525 -4.025037 -2.527064 -0.055168
           76.244162 -4.012952 -2.577698 -0.047494
           76.344324 -4.020586 -2.624830 -0.036720
           76.444217 -4.025205 -2.674037 -0.037042
           76.544182 -4.022536 -2.715514 -0.044925
           76.644181 -4.015069 -2.755311 -0.054586
           76.744203 -4.022733 -2.794029 -0.058907
           76.844251 -4.017865 -2.844438 -0.068907
           76.944149 -4.016767 -2.902919 -0.050175
           77.044194 -4.021063 -2.959631 -0.027884
           77.144198 -4.022919 -3.006061 -0.011266
           77.244203 -4.020966 -3.052993 -0.020434
           77.339258 -4.015383 -3.093084 -0.037499
